ID,ENG,FIL,polarity
1279,disposition,pag-aayaw-ayaw,neutral
1280,disprove,pasinungalingan,negative
1281,disputable,matututulan,negative
1282,dispute,pagtatalo,negative
1283,disputed,dispute,negative
1284,disquiet,makabagabag,negative
1285,disquieting,disquieting,negative
1286,disquietingly,disquietingly,negative
1287,disquietude,kabalisahan,negative
1288,disregard,pagwawalang-bahala,negative
1289,disregardful,disregardful,negative
1290,disreputable,may masamang pagkakilala ang mga tao,negative
1291,disrepute,pagkasira ng pangalan,negative
1292,disrespect,kawalang-pitagan,negative
1293,disrespectable,disrespectable,negative
1294,disrespectablity,disrespectablity,negative
1295,disrespectful,walang galang,negative
1296,disrespectfully,disrespectfully,negative
1297,disrespectfulness,impertinensiya,negative
1298,disrespecting,disrespecting,negative
1299,disrupt,pumatid,negative
1300,disruption,pagputol,negative
1301,disruptive,Nakakaantalang,negative
1302,dissatisfaction,sama ng loob,negative
1303,dissatisfactory,hindi kasiya-siya,negative
1304,dissatisfied,masama ang loob,negative
1305,dissatisfy,magbigay ng hindi kasiyahan,negative
1306,dissatisfying,dissatisfying,negative
1307,dissemble,magpakunwari,negative
1308,dissembler,magdaraya,negative
1309,dissension,pag-aaway,negative
1310,dissent,hindi sumang-ayon,negative
1311,dissenter,dissenter,negative
1312,dissention,dissention,negative
1313,disservice,masamang paglilingkod,negative
1314,dissidence,tutol,negative
1315,dissident,dissident,negative
1316,dissidents,dissidents,negative
1317,dissocial,dissocial,negative
1318,dissolute,napakasamang pamumuhay,negative
1319,dissonance,kawalan ng armonya,negative
1320,dissonant,nagkakasalungatan,negative
1321,dissonantly,dissonantly,negative
1322,dissuade,himuking huwag gawin ang isang bagay,negative
1323,dissuasive,pinapagpayuhang huwag gawin ang isang bagay,negative
1324,distaste,hindi magustuhan,negative
1325,distasteful,nakawawala ng gana,negative
1326,distastefully,distastefully,negative
1327,distinguished,mukhang mahal na tao,positive
1328,distort,magpapangit,negative
1329,distortion,pagbaluktot,negative
1330,distracting,distracting,negative
1331,distraction,kaguluhan ng isip,negative
1332,distraught,naguguluhan,negative
1333,distraughtly,distraughtly,negative
1334,distraughtness,distraughtness,negative
1335,distress,pagkabalisa,negative
1336,distressed,namimighati,negative
1337,distressing,kasakitsakit,negative
1338,distressingly,distressingly,negative
1339,distrust,kawalan ng tiwala,negative
1340,distrustful,walang tiwala,negative
1341,distrusting,distrusting,negative
1342,disturb,abalahin,negative
1343,disturbed,nabalisa,negative
1344,disturbed-let,maaabala-let,negative
1345,disturbing,nakakagambala,negative
1346,disturbingly,disturbingly,negative
1347,disunity,kawalan ng pagkakaisa,negative
1348,disvalue,disvalue,negative
1349,divine,banal,positive
1350,divinely,divinely,positive
1351,divisive,naghahati,negative
1352,divisively,divisively,negative
1353,divisiveness,divisiveness,negative
1354,dizzy,nahihilo,negative
1355,dizzing,dizzing,negative
1356,dizzingly,dizzingly,negative
1357,doddering,nanginginig,negative
1358,dodge,umigtad,positive
1359,dodgey,dodgey,negative
1360,dogged,mapilit,negative
1361,doggedly,doggedly,negative
1362,dogmatic,matigas kung magsalita,negative
1363,doldrums,kawalang-sigla,negative
1364,domination,pangingibabaw,negative
1365,domineer,makapangyari,negative
1366,domineering,mapagmataas,negative
1367,doom,kapalaran,negative
1368,doomsday,katapusan ng mundo,negative
1369,dote,mahaling,positive
1370,dotingly,dotingly,positive
1371,doubt,pag-aalinlangan,negative
1372,doubtful,walang katiyakan,negative
1373,doubtfully,doubtfully,negative
1374,doubtless,walang alinlangan,positive
1375,doubts,alinlangan,negative
1376,downbeat,downbeat,negative
1377,downcast,sira ang loob,negative
1378,downer,Downer,negative
1379,downfall,malakas na ulan,negative
1380,downfallen,downfallen,negative
1381,downhearted,sira ang loob,negative
1382,downheartedly,downheartedly,negative
1383,downright,talaga,neutral
1384,downside,downside,negative
1385,drab,hindi maganda,negative
1386,draconian,Drakoniko,negative
1387,draconic,Drakoniko,negative
1388,dragon,dragon,negative
1389,dragons,dragons,negative
1390,dragoon,taong bastos,negative
1391,drain,alisan ng tubig,negative
1392,drama,drama,negative
1393,dramatic,dramatiko,neutral
1394,dramatically,kapansin-pansing,neutral
1395,drastic,marahas,negative
1396,drastically,labis,negative
1397,dread,kahila-hilakbot,negative
1398,dreadful,kakila-kilabot,negative
1399,dreadfully,katakut-takot,negative
1400,dreadfulness,dreadfulness,negative
1401,dream,mangarap,positive
1402,dreamland,hindi tunay na bansa,positive
1403,dreary,pagod na pagod,negative
1404,drones,drones,negative
1405,drunk,lasing,negative
1406,drunkard,maglalasing,negative
1407,drunken,lango,negative
1408,dubious,nakapag-aalinlangan,negative
1409,dubiously,dubiously,negative
1410,dubitable,dubitable,negative
1411,dullard,tanga,negative
1412,dumb,walang imik,negative
1413,dumbfound,masiraan ng loob,negative
1414,dumbfounded,dumbfounded,negative
1415,dummy,pantalya,negative
1416,dunce,batang mahina ang ulo,negative
1417,dungeon,piitan,negative
1418,dungeons,dungeons,negative
1419,dupe,malinlang,negative
1420,eager,sabik,positive
1421,eagerly,sabik,positive
1422,eagerness,pagkasabik,positive
1423,earnest,maalab,positive
1424,earnestly,seriyosong,positive
1425,earnestness,earnestness,positive
1426,earsplitting,sobrang ingay,negative
1427,easygoing,madaling pakisamahan,positive
1428,ebullience,pagka-sobrang saya,positive
1429,ebullient,nagniningning sa saya,positive
1430,ebulliently,ebulliently,positive
1431,eclectic,maraming hilig,positive
1432,ecstasies,ecstasies,positive
1433,ecstasy,sobrang saya,positive
1434,ecstatic,masayang-masaya,positive
1435,ecstatically,ecstatically,positive
1436,edgy,nerbiyoso,negative
1437,edify,magbigay ng magandang halimbawa,positive
1438,effigy,imahen,negative
1439,effortless,walang hirap,positive
1440,effortlessly,walang kahirap-hirap,positive
1441,effrontery,kapal ng mukha,negative
1442,effusion,umagos,positive
1443,effusive,gayon na lamang,positive
1444,effusively,effusively,positive
1445,effusiveness,effusiveness,positive
1446,ego,sarili,negative
1447,egocentric,mayabang,negative
1448,egomania,ubod ng yabang,negative
1449,egotism,labis na pagpapahalaga sa sarili,negative
1450,egotistical,egotistical,negative
1451,egotistically,egotistically,negative
1452,egregious,kapansin-pansin,negative
1453,egregiously,labis,negative
1454,ejaculate,magbulalas,negative
1455,elaborate,dagdagan ng mga paliwanag,neutral
1456,elan,Elan,positive
1457,elated,galak na galak,positive
1458,elatedly,elatedly,positive
1459,elation,pagkasaya,positive
1460,election-rigger,eleksyon-taong nagbubuo,negative
1461,electrification,magpakuryente,positive
1462,elegance,gilas,positive
1463,elegant,elegante,positive
1464,elegantly,elegante,positive
1465,eloquence,mahusay na pagsasalita,positive
1466,eloquent,magaling magsalita,positive
1467,eloquently,eloquently,positive
1468,emaciated,payat na payat,negative
1469,emasculate,nakakatanggal ng pagkalalaki,negative
1470,embarrass,mapahiya,negative
1471,embarrassing,nakakahiya,negative
1472,embarrassingly,kahiya-hiya,negative
1473,embarrassment,kahihiyan,negative
1474,embellish,palamutihan,positive
1475,embodiment,pinakadiwa,neutral
1476,embrace,yakapin,positive
1477,embroil,masangkot sa gulo,negative
1478,embroiled,nagulo,negative
1479,embroilment,guluhin,negative
1480,eminence,mataas na lugar,positive
1481,eminent,bantog,positive
1482,emotion,damdamin,neutral
1483,emotional,nagpapahayag ng damdamin,negative
1484,empathize,empathize,negative
1485,empathy,makiramay,negative
1486,emphatic,maliwanag,negative
1487,emphatically,matigas,negative
1488,emptiness,kawalan ng laman,negative
1489,enchant,gayumahin,positive
1490,enchanted,enchanted,positive
1491,enchanting,kabigha-bighani,positive
1492,enchantingly,enchantingly,positive
1493,encouragement,bigyan ng lakas at pag-asa,positive
1494,encouraging,nagbibigay-pag-asa,positive
1495,encouragingly,encouragingly,positive
1496,endanger,ilagay sa panganib,negative
1497,endear,mapamahal,positive
1498,endearing,endearing,positive
1499,endorse,ilagda,positive
1500,endorsement,liham ng paglilipat,positive
1501,endorser,endorser,positive
1502,endurable,mababata,positive
1503,endure,magtiis,positive
1504,endures,tinitiis,positive
1505,endured,tiniis,positive
1506,enduring,walang maliw,positive
1507,enervate,nakakapanghina,negative
1508,enfeeble,papanghinain,negative
1509,enflame,enflame,negative
1510,engaging,nakakaengganyo,positive
1511,engrossing,nakakalulon,positive
1512,enjoin,magtagubilin,negative
1513,enjoy,tangkilikin,positive
1514,enjoys,tinatangkilik,positive
1515,enjoyable,kasiya-siya,positive
1516,enjoyably,enjoyably,positive
1517,enjoyment,kasiyahan,positive
1518,enmity,pagkapoot,negative
1519,ennoble,magpadakila,positive
1520,enormities,enormities,negative
1521,enormity,katakut-takot na kasamaan,negative
1522,enormous,napakalubha,negative
1523,enormously,sobrang sobra,negative
1524,enrage,papag-apuyin sa galit,negative
1525,enraged,galit na galit,negative
1526,enrapt,enrapt,positive
1527,enraptured,enraptured,positive
1528,enslave,mang-alipin,negative
1529,entertaining,kasiya-siya,positive
1530,enthral,mabighani,positive
1531,enthrall,mabighani,positive
1532,enthralled,enthralled,positive
1533,enthuse,magpakita ng interes,positive
1534,enthusiasm,sigasig,positive
1535,enthusiast,taong masigla,positive
1536,enthusiastic,masigasig,positive
1537,enthusiastically,enthusiastically,positive
1538,entice,mag-udyok,positive
1539,enticing,nakakaakit,positive
1540,enticingly,enticingly,positive
1541,entirely,lahatan,neutral
1542,entranced,entranced,positive
1543,entrancing,nakakaakit,positive
1544,entrap,mabitag,negative
1545,entrapment,entrapment,negative
1546,entreat,pamanhikan,positive
1547,entreatingly,entreatingly,positive
1548,entrenchment,paghimasok,neutral
1549,enviable,nakahihili,positive
1550,enviably,enviably,positive
1551,envious,mapanghili,negative
1552,enviously,enviously,negative
1553,enviousness,enviousness,negative
1554,envy,inggit,negative
1555,envies,naiinggit,negative
1556,epic,mahabang tula,positive
1557,epitome,ehemplo,positive
1558,equivocal,may dalawang magkaibang kahulugan,negative
1559,err,maligaw,negative
1560,erratic,mali-mali,negative
1561,erratically,erratically,negative
1562,erroneous,liko,negative
1563,erroneously,hindi wasto,negative
1564,erudite,maalam,positive
1565,eschew,eschew,negative
1566,especially,lalo na,positive
1567,esteem,pahalagahan,positive
1568,estranged,hiwalay,negative
1569,eternity,kawalang-hanggan,positive
1570,ethical,tama,positive
1571,eulogize,mataas na papuri,positive
1572,euphoria,makaramdam ng sobrang tuwa,positive
1573,euphoric,euphoric,positive
1574,euphorically,euphorically,positive
1575,evaluate,tumasa,neutral
1576,everlasting,walang hanggan,positive
1577,evidently,talaga,positive
1578,evil,kasamaan,negative
1579,evildoer,masamang tao,negative
1580,evils,evils,negative
1581,eviscerate,eviscerate,negative
1582,evocative,evocative,positive
1583,exacerbate,palalain,negative
1584,exact,eksakto,neutral
1585,exactly,ganap,neutral
1586,exaggerate,magpahigit,negative
1587,exaggeration,pagmamalabis,negative
1588,exalt,magpuri,positive
1589,exaltation,pagpaparangal,positive
1590,exalted,matayog,positive
1591,exaltedly,exaltedly,positive
1592,exalting,exalting,positive
1593,exaltingly,exaltingly,positive
1594,exasperate,magpagalit,negative
1595,exasperation,matinding pagkayamot,negative
1596,exasperating,nakakabugnot,negative
1597,exasperatingly,exasperatingly,negative
1598,exceed,lumampas,positive
1599,exceeding,pambihira,positive
1600,exceedingly,lubha,positive
1601,excel,pangibabawan,positive
1602,excellence,kataasan ng uri,positive
1603,excellency,kamahalan,positive
1604,excellent,mahusay na mahusay,positive
1605,excellently,napakahusay,positive
1606,exceptional,pambihira,positive
1607,exceptionally,iba,positive
1608,excessive,labis,negative
1609,excessively,sobra-sobra,negative
1610,excite,excite,positive
1611,excites,excites,positive
1612,excited,natutuwa,positive
1613,excitedly,excitedly,positive
1614,excitedness,excitedness,positive
1615,excitement,kaguluhan,positive
1616,exciting,nakapupukaw,positive
1617,excitingly,excitingly,positive
1618,exclaim,mapabulalas,negative
1619,excoriate,pintasan ng malala,negative
1620,excruciating,masakit na masakit,negative
1621,excruciatingly,excruciatingly,negative
1622,excusable,maaaring ipatawad,positive
1623,execrate,kulamin,negative
1624,exemplar,exemplar,positive
1625,exemplary,kapuri-puri,positive
1626,exhilarate,maging masayang-masaya,positive
1627,exhilarating,exhilarating,positive
1628,exhilaratingly,exhilaratingly,positive
1629,exhilaration,galak,positive
1630,exhort,payuhan,negative
1631,exonerate,pawalang-sala,positive
1632,exorbitant,napakamahal,negative
1633,exorbitantance,exorbitantance,negative
1634,exorbitantly,exorbitantly,negative
1635,expansive,malawak,positive
1636,expertly,expertly,positive
1637,expire,lumipas,negative
1638,explicit,malinaw,positive
1639,explicitly,tahasan,positive
1640,exploit,maningning na tagumpay,negative
1641,exploitation,pagsasamantala,negative
1642,expunge,pumawi,negative
1643,exquisite,magandang-maganda,positive
1644,exquisitely,exquisitely,positive
1645,extemporize,magsalita nang hindi handa,neutral
1646,extensively,malawak,neutral
1647,exterminate,lumipol,negative
1648,extermination,pagpuksa,negative
1649,extol,itanghal,positive
1650,extoll,itanghal,positive
1651,extortion,paghingi nang sapilitan,negative
1652,extraordinarily,extraordinarily,positive
1653,extraordinary,pambihira,positive
1654,extravagance,pag-aaksaya,negative
1655,extravagant,mapag-aksaya,negative
1656,extravagantly,extravagantly,negative
1657,extreme,matindi,negative
1658,extremely,labis,negative
1659,exuberance,paghayag ng sobrang saya,positive
1660,exuberant,masayang-masaya,positive
1661,exuberantly,exuberantly,positive
1662,exult,magpakasaya,positive
1663,exultation,malaking kasayahan,positive
1664,exultingly,exultingly,positive
1665,fabrication,katha,negative
1666,fabulous,hindi kapani-paniwala,positive
1667,fabulously,fabulously,positive
1668,facetious,palabiro,negative
1669,facetiously,pabiro,negative
1670,fact,katunayan,neutral
1671,facts,katotohanan,neutral
1672,failing,bagsak,negative
1673,fainthearted,fainthearted,negative
1674,faith,pananampalataya,positive
1675,faithful,tapat,positive
1676,faithfully,matapat,positive
1677,faithfulness,katapatan,positive
1678,faithless,walang pananampalataya,negative
1679,fake,pekeng,negative
1680,fakes,niloloko,negative
1681,faked,niloko,negative
1682,fallacies,fallacies,negative
1683,fallacious,nakakalinlang,negative
1684,fallaciously,fallaciously,negative
1685,fallaciousness,pagkamalinlang,negative
1686,fallacy,kamalian,negative
1687,fallout,fallout,negative
1688,false,false,negative
1689,falsehood,kasinungalingan,negative
1690,falsely,pasinungaling,negative
1691,falsify,palsipikahin,negative
1692,falter,panghinaan ng loob,negative
1693,fame,katanyagan,positive
1694,famed,sikat,positive
1695,famine,gutom,negative
1696,famished,gutom na gutom,negative
1697,famously,patanyag,positive
1698,fanatic,bulag na alagad,negative
1699,fanatical,papanatiko,negative
1700,fanatically,fanatically,negative
1701,fanaticism,panatismo,negative
1702,fanatics,panatiko,negative
1703,fanciful,imahinatibo,negative
1704,fancy,mahumaling,positive
1705,fanfare,tokata,positive
1706,fantastic,hindi kapani-paniwala,positive
1707,fantastically,fantastically,positive
1708,fantasy,pantasiya,positive
1709,far-fetched,mula sa imahinasyon,negative
1710,farfetched,farfetched,negative
1711,farce,komedya,negative
1712,farcical,pasaynete,negative
1713,farcical-yet-provocative,pasaynete-pa-kagalit-galit,negative
1714,farcically,farcically,negative
1715,fascinate,gayumahin,positive
1716,fascinating,nakahahalina,positive
1717,fascinatingly,fascinatingly,positive
1718,fascination,pang-akit,positive
1719,fascism,pasismo,negative
1720,fascist,pasista,negative
1721,fashionable,sunod sa moda,positive
1722,fashionably,fashionably,positive
1723,fastidious,maselan,negative
1724,fastidiously,fastidiously,negative
1725,fastuous,fastuous,negative
1726,fatalistic,fatalistic,negative
1727,fatalistically,fatalistically,negative
1728,fateful,nakamamatay,negative
1729,fatefully,fatefully,negative
1730,fathomless,hindi maarok ang lalim,negative
1731,fatuity,kalokohan,negative
1732,fatuous,maloko,negative
1733,fatuously,paloko,negative
1734,fault,pumuna,negative
1735,favor,paboran,positive
1736,favorable,sang-ayon,positive
1737,favorite,paborito,positive
1738,fawn,usa,both
1739,fawningly,fawningly,negative
1740,favour,paboran,positive
1741,fear,takot,negative
1742,fears,natatakot,
1743,feared,natakot,
1744,fearful,matatakutin,negative
1745,fearfully,takot,negative
1746,fearless,walang takot,positive
1747,fearlessly,fearlessly,positive
1748,fears,mga takot,negative
1749,fearsome,nakakatakot,negative
1750,featly,featly,positive
1751,feckless,walang lakas,negative
1752,feebleminded,mahina ang isip,negative
1753,feel,pakiramdam,neutral
1754,feels,nararamdaman,neutral
1755,felt,pyeltro,neutral
1756,feeling,pakiramdam,neutral
1757,feelings,damdamin,neutral
1758,feisty,Feisty,positive
1759,felicitate,batiin,positive
1760,felicitous,nababagay,positive
1761,felicity,ligaya,positive
1762,fell,patumbahin,negative
1763,ferocious,galit na galit,negative
1764,ferociously,ferociously,negative
1765,ferocity,bagsik,negative
1766,fervent,taimtim,positive
1767,fervently,fervently,positive
1768,fervid,maalab,positive
1769,fervidly,fervidly,positive
1770,fervor,pagkainit,positive
1771,festive,maligaya,positive
1772,fetid,mabaho,negative
1773,fiasco,ganap na kabiguan,negative
1774,fib,maliit na kasinungalingan,negative
1775,fibber,sinungaling na tao,negative
1776,fickle,salawahan,negative
1777,fictitious,gawa-gawa lamang,negative
1778,fidelity,katapatan,positive
1779,fidget,hindi mapakali,negative
1780,fidgety,hindi mapakali,negative
1781,fiend,halimaw na tao,negative
1782,fiendish,napakahayop,negative
1783,filth,maruruming salita,negative
1784,filthy,napakarumi,negative
1785,finally,sa wakas,neutral
1786,finely,makinis,positive
1787,first-rate,napakabuti,positive
1788,fit,akma,positive
1789,fitting,agpang,positive
1790,fixer,tagaayos,neutral
1791,flabbergast,flabbergast,negative
1792,flabbergasted,tuliro,negative
1793,flagrant,garapal,negative
1794,flagrantly,flagrantly,negative
1795,flak,paputok laban sa eroplano,negative
1796,flat-out,flat-out,negative
1797,flatter,purihin nang labis-labis,positive
1798,flattering,nakakabigay-puri,positive
1799,flatteringly,flatteringly,positive
1800,flaunt,ipagparangalan,negative
1801,flawless,walang kamali-mali,positive
1802,flawlessly,walang aberya,positive
1803,fleer,mangungutya,negative
1804,flexible,nababaluktot,positive
1805,flighty,may pagkasira-sira,negative
1806,flimflam,panloloko,negative
1807,flirt,manlilimbang,negative
1808,flirty,malandi,negative
1809,floored,Pino-floor,negative
1810,flounder,magkumayod,negative
1811,floundering,floundering,negative
1812,flourish,lumakas,positive
1813,flourishing,yumayabong,positive
1814,flout,pawalang-kabuluhan,negative
1815,foe,kaaway,negative
1816,fond,hibang na hibang,positive
1817,fondly,pakarinyo,positive
1818,fondness,pagkamatuwain,positive
1819,fool,lokohin,negative
1820,foolhardy,walang patumangga,negative
1821,foolish,sira ang bait,negative
1822,foolishly,maloko,negative
1823,foolishness,kagaguhan,negative
1824,forbid,ipagbawal,negative
1825,forbidden,ipinagbabawal,negative
1826,foreboding,agam,negative
1827,forebodingly,forebodingly,negative
1828,foremost,nangunguna sa lahat,positive
1829,forsee,forsee,neutral
1830,foresight,pag-iintindi sa hinaharap,positive
1831,foretell,manghula,neutral
1832,forgave,forgave,positive
1833,forget,kalimutan,negative
1834,forgetful,malilimutin,negative
1835,forgetfully,forgetfully,negative
1836,forgetfulness,limot,negative
1837,forgive,magpatawad,positive
1838,forgives,pinapatawad,positive
1839,forgave,pinatawad,positive
1840,forgiven,pinatawad,positive
1841,forgiveness,kapatawaran,positive
1842,forgiving,mapagpatawad,positive
1843,forgivingly,forgivingly,positive
1844,forlorn,napapabayaan,negative
1845,forlornly,forlornly,negative
1846,formidable,mahirap talunin,negative
1847,forsake,pabayaan,negative
1848,forsaken,tinalikdan,negative
1849,forswear,sumira sa pangako,negative
1850,fortitude,tibay ng loob,positive
1851,fortress,muog,neutral
1852,fortuitous,nagkataon,positive
1853,fortuitously,nagkataon,positive
1854,fortunate,masuwerte,positive
1855,fortunately,sa kabutihang-palad,positive
1856,fortune,kapalaran,positive
1857,foul,napakarumi,negative
1858,foully,mabaho,negative
1859,foulness,pagkadumi,negative
1860,fractious,praksiyus,negative
1861,fractiously,fractiously,negative
1862,fragrant,masamyo,positive
1863,frank,berbal,positive
1864,frankly,nang tapat,neutral
1865,frantic,galit na galit,negative
1866,frantically,frantically,negative
1867,franticly,franticly,negative
1868,fraternize,makipagkapatiran,negative
1869,fraught,lipos,negative
1870,freak,taong kakatuwa,negative
1871,freakish,nakakatakot,negative
1872,freakishly,freakishly,negative
1873,frazzle,magkagutay-gatay,negative
1874,frazzled,frazzled,negative
1875,frenetic,masilakbo,negative
1876,frenetically,frenetically,negative
1877,frenzied,ulol,negative
1878,frenzy,siklab ng galit,negative
1879,fret,mag-alaala,negative
1880,fretful,mayamutin,negative
1881,friction,pagkikiskisan,negative
1882,frictions,frictions,negative
1883,friendliness,pagkamagiliw,positive
1884,friendly,magiliw,positive
1885,friggin,friggin,negative
1886,fright,biglang gulat,negative
1887,frighten,takutin,negative
1888,frightening,nakakatakot,negative
1889,frighteningly,frighteningly,negative
1890,frightful,katakot-takot,negative
1891,frightfully,pasindak,negative
1892,frivolous,walang gaanong kabuluhan,negative
1893,frolic,nagsasaya,positive
1894,frown,hindi sumang-ayon,negative
1895,fruitless,walang bunga,negative
1896,fruitlessly,fruitlessly,negative
1897,fun,magsaya,negative
1898,frustrate,bumigo,negative
1899,frustrated,bigo,negative
1900,frustrating,nakakabigo,negative
1901,frustratingly,frustratingly,negative
1902,frustration,pagkabigo,negative
1903,fudge,gawing kalokohan,negative
1904,fulminate,tumuligsa,negative
1905,fume,asap,negative
1906,fundamental,saligan,neutral
1907,fundamentally,sa panimula,neutral
1908,funny,nakakatawa,positive
1909,furious,galit na galit,negative
1910,furiously,furiously,negative
1911,furor,pagkakagulo,negative
1912,furthermore,at saka,neutral
1913,fury,pagngangalit ng bagyo,negative
1914,fuss,manligalig,negative
1915,fustigate,magsulat ng palabis,negative
1916,fussy,masyadong delikado,negative
1917,fusty,niluma,negative
1918,futile,walang kapararakan,negative
1919,futilely,futilely,negative
1920,futility,pagkawalang-saysay,negative
1921,gabble,magsasatsat,negative
1922,gaff,taga,negative
1923,gaffe,gaffe,negative
1924,gaiety,pagkabakla,positive
1925,gaily,tuwang-tuwa,positive
1926,gainful,mapagtutubuan,positive
1927,gainfully,gainfully,positive
1928,gainsay,tumutol,negative
1929,gainsayer,gainsayer,negative
1930,gaga,mangha,negative
1931,gaggle,grupo ng pabo,negative
1932,gall,sama ng loob,negative
1933,gallant,mag-ilas na manliligaw,positive
1934,gallantly,gallantly,positive
1935,galling,nakayayamot,negative
1936,gallingly,gallingly,negative
1937,galore,masagana,positive
1938,gape,mapatunganga,negative
1939,garish,mahalay,negative
1940,gasp,paghahabol ng hihinga,negative
1941,gauche,mahalay,negative
1942,gaudy,matingkad,negative
1943,gawk,tulala,negative
1944,gawky,masamang kumilos,negative
1945,geezer,matanda,negative
1946,generosity,pagkabukas-palad,positive
1947,generous,bukas-palad,positive
1948,generously,generously,positive
1949,genius,likas na kakayahan,positive
1950,genocide,pagpatay ng lahi,negative
1951,get-rich,makakuha ng mayaman,negative
1952,ghastly,parang multo,negative
1953,gibber,magsasatsat,negative
1954,gibberish,satsat,negative
1955,gibe,mang-aglahi,negative
1956,giddy,salawahan,positive
1957,gifted,likas na matalino,positive
1958,glad,natutuwa,positive
1959,gladden,sumaya,positive
1960,gladly,masaya,positive
1961,gladness,galak,positive
1962,glamorous,mapanghalina,positive
1963,glare,liwanag na nakasisilaw,negative
1964,glaring,nakasisilaw,negative
1965,glaringly,nandidilat,negative
1966,glean,pulutin,neutral
1967,glee,saya,positive
1968,gleeful,masayahin,positive
1969,gleefully,tuwang-tuwa,positive
1970,glib,masarap lamang sa pandinig,negative
1971,glibly,matatas,negative
1972,glimmer,kislap,positive
1973,glimmering,kutitaptap,positive
1974,glisten,pagkislap,positive
1975,glistening,kumikislap,positive
1976,glitter,kuminang,positive
1977,gloat,ikalugod,both
1978,gloatingly,malugod,negative
1979,gloom,lagim,negative
1980,gloomy,malungkot,negative
1981,glorify,luwalhatiin,positive
1982,glorious,maluwalhati,positive
1983,gloriously,gloriously,positive
1984,glory,kaluwalhatian,positive
1985,gloss,pagpapakitang-tao,negative
1986,glossy,makintab,positive
1987,glow,mamula-mula,positive
1988,glower,galit na tao,negative
1989,glowing,pagkinang,positive
1990,glowingly,glowingly,positive
1991,glum,walang imik,negative
1992,goad,pantaboy,negative
1993,goading,goading,negative
1994,god-awful,diyos-kakila-kilabot,negative
1995,god-given,diyos-given,positive
1996,goddam,goddam,negative
1997,goddamn,goddamn,negative
1998,godlike,tulad ng diyos,positive
1999,goodness,kabutihan,positive
2000,goodwill,tapat na kalooban,positive
2001,goof,loko,negative
2002,gorgeous,napakarilag,positive
2003,gorgeously,gorgeously,positive
2004,gossip,tsismis,negative
2005,grace,pagpapala,positive
2006,graceful,magandang kumilos,positive
2007,gracefully,maganda,positive
2008,graceless,walang karikitan,negative
2009,gracelessly,gracelessly,negative
2010,gracious,mapagbigay-loob,positive
2011,graciously,marikit,positive
2012,graciousness,pagka-mapagbigay-loob,positive
2013,grandeur,kadakilaan,positive
2014,grandiose,engrande,negative
2015,grate,lagyan ng rehas,negative
2016,grateful,tumatanaw ng utang na loob,positive
2017,gratefully,mapasalamat,positive
2018,gratification,pagbibigay-kasiyahan,positive
2019,gratify,bigyang-kasiyahan,positive
2020,gratifying,gratifying,positive
2021,gratifyingly,gratifyingly,positive
2022,grating,parilya,negative
2023,gratitude,pagkilala ng utang na loob,positive
2024,gratuitous,walang batayan,negative
2025,gratuitously,gratuitously,negative
2026,grave,libingan,negative
2027,gravely,seriyoso,negative
2028,great,malaki,positive
2029,greatest,kalubus-lubusan,positive
2030,greatly,labis,neutral
2031,greatness,kadakilaan,positive
2032,greed,kasibaan,negative
2033,greedy,matakaw,negative
2034,greet,bumati,positive
2035,grief,lungkot,negative
2036,grievance,karaingan,negative
2037,grievances,grievances,negative
2038,grieve,makalungkot,negative
2039,grieves,grieves,negative
2040,grieving,grieving,negative
2041,grievous,mahirap tiisin,negative
2042,grievously,madalamhati,negative
2043,grim,mabangis,negative
2044,grimace,pagngiwi,negative
2045,grin,ngiti,positive
2046,grind,gumiling,negative
2047,gripe,sama ng loob,negative
2048,grisly,karumal-dumal,negative
2049,grit,tigas ng loob,positive
2050,grossly,mahalay,negative
2051,grotesque,lubhang kakatuwa,negative
2052,grouch,tampo,negative
2053,grouchy,matampuhin,negative
2054,groundbreaking,groundbreaking,positive
2055,groundless,walang katwiran,negative
2056,grouse,pag-angal,negative
2057,growl,magmaktol,negative
2058,grudge,sama ng loob,negative
2059,grudges,grudges,negative
2060,grudging,masama ang loob,negative
2061,grudgingly,masama sa loob,negative
2062,gruesome,nakasusuklam,negative
2063,gruesomely,gruesomely,negative
2064,gruff,magaspang,negative
2065,grumble,bumulung-bulong,negative
2066,guile,lalang,negative
2067,guilt,pagkakasala,negative
2068,guiltless,walang kasalanan,positive
2069,guiltily,makasalanan,negative
2070,gullible,mapaniwalain,negative
2071,gumption,gumption,positive
2072,gusto,sarap,positive
2073,gutsy,gutsy,positive
2074,haggard,mukhang may sakit,negative
2075,haggle,pagtalunan,negative
2076,haha,haha,positive
2077,hahaha,hahaha,positive
2078,hahahah,hahahah,positive
2079,hail,ulang may yelo,positive
2080,halcyon,matiwasay,positive
2081,hale,mabuti ang katawan,positive
2082,halfhearted,halfhearted,negative
2083,halfheartedly,halfheartedly,negative
2084,hallowed,hallowed,positive
2085,hallucinate,maghalusinasyon,negative
2086,hallucination,guniguni,negative
2087,hamper,makapigil,negative
2088,hamstring,pilayan,negative
2089,hamstrung,hamstrung,negative
2090,handily,handily,positive
2091,handsome,makisig,positive
2092,handy,sanay,positive
2093,hanker,mithiin,positive
2094,hapless,kulang-palad,negative
2095,happily,sa kabutihang-palad,positive
2096,happiness,kaligayahan,positive
2097,happy,masaya,positive
2098,harangue,mainit na talumpati,negative
